start_x,start_y,start_z,end_x,end_y,end_z,segment_start,segment_end,segment_length
479351.7619000003,5923589.598200001,-12,479350.8925000001,5923590.0923,-11,15350.137804,15351.552015,1.414210
479350.8925000001,5923590.0923,-11,479341.34219999984,5923595.5504,-11,15351.552015,15362.551973,10.999958
479341.34219999984,5923595.5504,-11,479324.0398000004,5923605.581700001,-11,15362.551973,15382.551974,20.000001
479324.0398000004,5923605.581700001,-11,479306.8183000004,5923615.7511,-11,15382.551974,15402.551893,19.999919
479306.8183000004,5923615.7511,-11,479289.6786000002,5923626.0579,-11,15402.551893,15422.551879,19.999986
479289.6786000002,5923626.0579,-11,479272.62200000044,5923636.501499999,-11,15422.551879,15442.551788,19.999910
479272.62200000044,5923636.501499999,-11,479245.5066999998,5923653.494100001,-11,15442.551788,15474.551600,31.999812
479245.5066999998,5923653.494100001,-11,479218.61120000016,5923670.8323,-11,15474.551600,15506.551305,31.999705
479218.61120000016,5923670.8323,-11,479191.9397,5923688.5134,-11,15506.551305,15538.551152,31.999847
479191.9397,5923688.5134,-11,479165.49679999985,5923706.534399999,-11,15538.551152,15570.550892,31.999741
479165.49679999985,5923706.534399999,-11,479139.28670000006,5923724.8925,-11,15570.550892,15602.550723,31.999831
479139.28670000006,5923724.8925,-11,479113.3136999998,5923743.5845,-11,15602.550723,15634.550529,31.999806
479113.3136999998,5923743.5845,-11,479087.58210000023,5923762.6074,-11,15634.550529,15666.550310,31.999781
479087.58210000023,5923762.6074,-11,479062.88879999984,5923781.3484000005,-11,15666.550310,15697.550054,30.999744
479062.88879999984,5923781.3484000005,-11,479037.64470000006,5923801.013699999,-11,15697.550054,15729.549876,31.999822
479037.64470000006,5923801.013699999,-11,479012.65440000035,5923821.000399999,-11,15729.549876,15761.549615,31.999739
479012.65440000035,5923821.000399999,-11,478987.9219000004,5923841.305400001,-11,15761.549615,15793.549452,31.999837
478987.9219000004,5923841.305400001,-11,478963.45139999967,5923861.9252,-11,15793.549452,15825.549163,31.999711
478963.45139999967,5923861.9252,-11,478939.24679999985,5923882.8566,-11,15825.549163,15857.548947,31.999784
478939.24679999985,5923882.8566,-11,478915.31209999975,5923904.096100001,-11,15857.548947,15889.548732,31.999785
478915.31209999975,5923904.096100001,-11,478891.6512000002,5923925.6402,-11,15889.548732,15921.548520,31.999788
478891.6512000002,5923925.6402,-11,478868.26800000016,5923947.485400001,-11,15921.548520,15953.548314,31.999794
478868.26800000016,5923947.485400001,-11,478846.6019000001,5923968.2356,-11,15953.548314,15983.548159,29.999845
478846.6019000001,5923968.2356,-11,478825.17899999954,5923989.2368,-11,15983.548159,16013.548010,29.999851
478825.17899999954,5923989.2368,-11,478824.46729999967,5923989.939300001,-12,16013.548010,16014.962231,1.414222
478824.46729999967,5923989.939300001,-12,478249.4315999998,5924557.563999999,-12,16014.962231,16822.962142,807.999911
478249.4315999998,5924557.563999999,-12,478248.7198999999,5924558.2665,-13,16822.962142,16824.376364,1.414222
